CMpgH9oPqb8J|A_health_iot_platform_based_on_the_integration_of_intelligent_packaging_unobtrusive_bio_sensor_and_intelligent_medicine_box|A health-iot platform based on the integration of intelligent packaging, unobtrusive bio-sensor, and intelligent medicine box|http://ieeexplore.ieee.org/abstract/document/6747344/|http://www.diva-portal.org/smash/get/diva2:833968/FULLTEXT01.pdf|151
Q4dm6eUc1kEJ|Towards_metrics_driven_adaptive_security_management_in_e_health_IoT_applications|Towards metrics-driven adaptive security management in e-health IoT applications|https://dl.acm.org/citation.cfm?id=2442753|http://asset.nr.no/asset/images/5/5a/SeTTIT2012_Savola_Abie_Sihvonen.pdf|26
_aEqwrTxGiUJ|Opportunities_and_challenges_of_the_Internet_of_Things_for_healthcare_Systems_engineering_perspective|Opportunities and challenges of the Internet of Things for healthcare: Systems engineering perspective|http://ieeexplore.ieee.org/abstract/document/7015961/||33
Nc3s-0Z6ZJkJ|Security_and_privacy_mechanism_for_health_internet_of_things|Security and privacy mechanism for health internet of things|https://www.sciencedirect.com/science/article/pii/S1005888513602198||16
3aH3yGfDTW0J|Metrics_driven_security_objective_decomposition_for_an_e_health_application_with_adaptive_security_management|Metrics-driven security objective decomposition for an e-health application with adaptive security management|https://dl.acm.org/citation.cfm?id=2523507||23
r_Q9s5KxhIEJ|Enabling_the_IoT_paradigm_in_e_health_solutions_through_the_VIRTUS_middleware|Enabling the IoT paradigm in e-health solutions through the VIRTUS middleware|http://ieeexplore.ieee.org/abstract/document/6296229/||44
R-yo3LlExIsJ|PDF_PDF_Smart_health_care_system_using_internet_of_things|Smart health care system using internet of things|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|13
_BtyShaOL70J|The_internet_of_things_for_resident_health_information_service_platform_research|The internet of things for resident health information service platform research|http://digital-library.theiet.org/content/conferences/10.1049/cp.2011.0745||10
g58EZls4pqcJ|Ieee_11073_and_connected_health_Preparing_personal_health_devices_for_the_internet|Ieee 11073 and connected health: Preparing personal health devices for the internet|http://ieeexplore.ieee.org/abstract/document/6776001/||7
Bg0-T0USLrIJ|The_internet_of_things_for_health_care_a_comprehensive_survey|The internet of things for health care: a comprehensive survey|http://ieeexplore.ieee.org/abstract/document/7113786/|http://ieeexplore.ieee.org/iel7/6287639/7042252/07113786.pdf|300
Q4dm6eUc1kEJ|Towards_metrics_driven_adaptive_security_management_in_e_health_IoT_applications|Towards metrics-driven adaptive security management in e-health IoT applications|https://dl.acm.org/citation.cfm?id=2442753|http://asset.nr.no/asset/images/5/5a/SeTTIT2012_Savola_Abie_Sihvonen.pdf|26
_aEqwrTxGiUJ|Opportunities_and_challenges_of_the_Internet_of_Things_for_healthcare_Systems_engineering_perspective|Opportunities and challenges of the Internet of Things for healthcare: Systems engineering perspective|http://ieeexplore.ieee.org/abstract/document/7015961/||33
Nc3s-0Z6ZJkJ|Security_and_privacy_mechanism_for_health_internet_of_things|Security and privacy mechanism for health internet of things|https://www.sciencedirect.com/science/article/pii/S1005888513602198||16
3aH3yGfDTW0J|Metrics_driven_security_objective_decomposition_for_an_e_health_application_with_adaptive_security_management|Metrics-driven security objective decomposition for an e-health application with adaptive security management|https://dl.acm.org/citation.cfm?id=2523507||23
r_Q9s5KxhIEJ|Enabling_the_IoT_paradigm_in_e_health_solutions_through_the_VIRTUS_middleware|Enabling the IoT paradigm in e-health solutions through the VIRTUS middleware|http://ieeexplore.ieee.org/abstract/document/6296229/||44
R-yo3LlExIsJ|PDF_PDF_Smart_health_care_system_using_internet_of_things|Smart health care system using internet of things|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|13
_BtyShaOL70J|The_internet_of_things_for_resident_health_information_service_platform_research|The internet of things for resident health information service platform research|http://digital-library.theiet.org/content/conferences/10.1049/cp.2011.0745||10
g58EZls4pqcJ|Ieee_11073_and_connected_health_Preparing_personal_health_devices_for_the_internet|Ieee 11073 and connected health: Preparing personal health devices for the internet|http://ieeexplore.ieee.org/abstract/document/6776001/||7
Bg0-T0USLrIJ|The_internet_of_things_for_health_care_a_comprehensive_survey|The internet of things for health care: a comprehensive survey|http://ieeexplore.ieee.org/abstract/document/7113786/|http://ieeexplore.ieee.org/iel7/6287639/7042252/07113786.pdf|300
UkWPkZiz8aMJ|PDF_PDF_Registration_protocol_for_health_iot_platform_to_share_the_use_of_medical_devices|Registration protocol for health iot platform to share the use of medical devices|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|4
_aEqwrTxGiUJ|Opportunities_and_challenges_of_the_Internet_of_Things_for_healthcare_Systems_engineering_perspective|Opportunities and challenges of the Internet of Things for healthcare: Systems engineering perspective|http://ieeexplore.ieee.org/abstract/document/7015961/||33
Nc3s-0Z6ZJkJ|Security_and_privacy_mechanism_for_health_internet_of_things|Security and privacy mechanism for health internet of things|https://www.sciencedirect.com/science/article/pii/S1005888513602198||16
3aH3yGfDTW0J|Metrics_driven_security_objective_decomposition_for_an_e_health_application_with_adaptive_security_management|Metrics-driven security objective decomposition for an e-health application with adaptive security management|https://dl.acm.org/citation.cfm?id=2523507||23
r_Q9s5KxhIEJ|Enabling_the_IoT_paradigm_in_e_health_solutions_through_the_VIRTUS_middleware|Enabling the IoT paradigm in e-health solutions through the VIRTUS middleware|http://ieeexplore.ieee.org/abstract/document/6296229/||44
R-yo3LlExIsJ|PDF_PDF_Smart_health_care_system_using_internet_of_things|Smart health care system using internet of things|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|13
_BtyShaOL70J|The_internet_of_things_for_resident_health_information_service_platform_research|The internet of things for resident health information service platform research|http://digital-library.theiet.org/content/conferences/10.1049/cp.2011.0745||10
g58EZls4pqcJ|Ieee_11073_and_connected_health_Preparing_personal_health_devices_for_the_internet|Ieee 11073 and connected health: Preparing personal health devices for the internet|http://ieeexplore.ieee.org/abstract/document/6776001/||7
Bg0-T0USLrIJ|The_internet_of_things_for_health_care_a_comprehensive_survey|The internet of things for health care: a comprehensive survey|http://ieeexplore.ieee.org/abstract/document/7113786/|http://ieeexplore.ieee.org/iel7/6287639/7042252/07113786.pdf|300
UkWPkZiz8aMJ|PDF_PDF_Registration_protocol_for_health_iot_platform_to_share_the_use_of_medical_devices|Registration protocol for health iot platform to share the use of medical devices|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|4
knn5qBKi084J|Cloud_assisted_industrial_internet_of_things_iiot_enabled_framework_for_health_monitoring|Cloud-assisted industrial internet of things (iiot)–enabled framework for health monitoring|https://www.sciencedirect.com/science/article/pii/S1389128616300019|http://tarjomefa.com/wp-content/uploads/2016/09/4917-english.pdf|102
Nc3s-0Z6ZJkJ|Security_and_privacy_mechanism_for_health_internet_of_things|Security and privacy mechanism for health internet of things|https://www.sciencedirect.com/science/article/pii/S1005888513602198||16
3aH3yGfDTW0J|Metrics_driven_security_objective_decomposition_for_an_e_health_application_with_adaptive_security_management|Metrics-driven security objective decomposition for an e-health application with adaptive security management|https://dl.acm.org/citation.cfm?id=2523507||23
r_Q9s5KxhIEJ|Enabling_the_IoT_paradigm_in_e_health_solutions_through_the_VIRTUS_middleware|Enabling the IoT paradigm in e-health solutions through the VIRTUS middleware|http://ieeexplore.ieee.org/abstract/document/6296229/||44
R-yo3LlExIsJ|PDF_PDF_Smart_health_care_system_using_internet_of_things|Smart health care system using internet of things|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|13
_BtyShaOL70J|The_internet_of_things_for_resident_health_information_service_platform_research|The internet of things for resident health information service platform research|http://digital-library.theiet.org/content/conferences/10.1049/cp.2011.0745||10
g58EZls4pqcJ|Ieee_11073_and_connected_health_Preparing_personal_health_devices_for_the_internet|Ieee 11073 and connected health: Preparing personal health devices for the internet|http://ieeexplore.ieee.org/abstract/document/6776001/||7
Bg0-T0USLrIJ|The_internet_of_things_for_health_care_a_comprehensive_survey|The internet of things for health care: a comprehensive survey|http://ieeexplore.ieee.org/abstract/document/7113786/|http://ieeexplore.ieee.org/iel7/6287639/7042252/07113786.pdf|300
UkWPkZiz8aMJ|PDF_PDF_Registration_protocol_for_health_iot_platform_to_share_the_use_of_medical_devices|Registration protocol for health iot platform to share the use of medical devices|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|4
knn5qBKi084J|Cloud_assisted_industrial_internet_of_things_iiot_enabled_framework_for_health_monitoring|Cloud-assisted industrial internet of things (iiot)–enabled framework for health monitoring|https://www.sciencedirect.com/science/article/pii/S1389128616300019|http://tarjomefa.com/wp-content/uploads/2016/09/4917-english.pdf|102
HvQKJYbrplwJ|An_interactive_trust_model_for_application_market_of_the_internet_of_things|An interactive trust model for application market of the internet of things|http://ieeexplore.ieee.org/abstract/document/6742593/||29
3aH3yGfDTW0J|Metrics_driven_security_objective_decomposition_for_an_e_health_application_with_adaptive_security_management|Metrics-driven security objective decomposition for an e-health application with adaptive security management|https://dl.acm.org/citation.cfm?id=2523507||23
r_Q9s5KxhIEJ|Enabling_the_IoT_paradigm_in_e_health_solutions_through_the_VIRTUS_middleware|Enabling the IoT paradigm in e-health solutions through the VIRTUS middleware|http://ieeexplore.ieee.org/abstract/document/6296229/||44
R-yo3LlExIsJ|PDF_PDF_Smart_health_care_system_using_internet_of_things|Smart health care system using internet of things|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|13
_BtyShaOL70J|The_internet_of_things_for_resident_health_information_service_platform_research|The internet of things for resident health information service platform research|http://digital-library.theiet.org/content/conferences/10.1049/cp.2011.0745||10
g58EZls4pqcJ|Ieee_11073_and_connected_health_Preparing_personal_health_devices_for_the_internet|Ieee 11073 and connected health: Preparing personal health devices for the internet|http://ieeexplore.ieee.org/abstract/document/6776001/||7
Bg0-T0USLrIJ|The_internet_of_things_for_health_care_a_comprehensive_survey|The internet of things for health care: a comprehensive survey|http://ieeexplore.ieee.org/abstract/document/7113786/|http://ieeexplore.ieee.org/iel7/6287639/7042252/07113786.pdf|300
UkWPkZiz8aMJ|PDF_PDF_Registration_protocol_for_health_iot_platform_to_share_the_use_of_medical_devices|Registration protocol for health iot platform to share the use of medical devices|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|4
knn5qBKi084J|Cloud_assisted_industrial_internet_of_things_iiot_enabled_framework_for_health_monitoring|Cloud-assisted industrial internet of things (iiot)–enabled framework for health monitoring|https://www.sciencedirect.com/science/article/pii/S1389128616300019|http://tarjomefa.com/wp-content/uploads/2016/09/4917-english.pdf|102
HvQKJYbrplwJ|An_interactive_trust_model_for_application_market_of_the_internet_of_things|An interactive trust model for application market of the internet of things|http://ieeexplore.ieee.org/abstract/document/6742593/||29
pzf0XFI4wp8J|Design_of_a_terminal_solution_for_integration_of_in_home_health_care_devices_and_services_towards_the_Internet_of_Things|Design of a terminal solution for integration of in-home health care devices and services towards the Internet-of-Things|http://www.tandfonline.com/doi/abs/10.1080/17517575.2013.776118|http://www.diva-portal.org/smash/record.jsf?pid=diva2:622720|101
r_Q9s5KxhIEJ|Enabling_the_IoT_paradigm_in_e_health_solutions_through_the_VIRTUS_middleware|Enabling the IoT paradigm in e-health solutions through the VIRTUS middleware|http://ieeexplore.ieee.org/abstract/document/6296229/||44
R-yo3LlExIsJ|Smart_health_care_system_using_internet_of_things|Smart health care system using internet of things|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|13
_BtyShaOL70J|The_internet_of_things_for_resident_health_information_service_platform_research|The internet of things for resident health information service platform research|http://digital-library.theiet.org/content/conferences/10.1049/cp.2011.0745||10
g58EZls4pqcJ|Ieee_11073_and_connected_health_Preparing_personal_health_devices_for_the_internet|Ieee 11073 and connected health: Preparing personal health devices for the internet|http://ieeexplore.ieee.org/abstract/document/6776001/||7
Bg0-T0USLrIJ|The_internet_of_things_for_health_care_a_comprehensive_survey|The internet of things for health care: a comprehensive survey|http://ieeexplore.ieee.org/abstract/document/7113786/|http://ieeexplore.ieee.org/iel7/6287639/7042252/07113786.pdf|300
UkWPkZiz8aMJ|Registration_protocol_for_health_iot_platform_to_share_the_use_of_medical_devices|Registration protocol for health iot platform to share the use of medical devices|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|4
knn5qBKi084J|Cloud_assisted_industrial_internet_of_things_iiot_enabled_framework_for_health_monitoring|Cloud-assisted industrial internet of things (iiot)–enabled framework for health monitoring|https://www.sciencedirect.com/science/article/pii/S1389128616300019|http://tarjomefa.com/wp-content/uploads/2016/09/4917-english.pdf|102
HvQKJYbrplwJ|An_interactive_trust_model_for_application_market_of_the_internet_of_things|An interactive trust model for application market of the internet of things|http://ieeexplore.ieee.org/abstract/document/6742593/||29
pzf0XFI4wp8J|Design_of_a_terminal_solution_for_integration_of_in_home_health_care_devices_and_services_towards_the_Internet_of_Things|Design of a terminal solution for integration of in-home health care devices and services towards the Internet-of-Things|http://www.tandfonline.com/doi/abs/10.1080/17517575.2013.776118|http://www.diva-portal.org/smash/record.jsf?pid=diva2:622720|101
o5iF2rgFh60J|Health_internet_of_things_recent_applications_and_outlook|Health internet of things: recent applications and outlook|http://www.airitilibrary.com/Publication/alDetailedMesh?docid=16079264-201503-201504070025-201504070025-351-362|https://www.researchgate.net/profile/Yin_Zhang26/publication/282712539_Health_Internet_of_Things_Recent_Applications_and_Outlook/links/570aa9f208ae8883a1fbf9ef.pdf|10
R-yo3LlExIsJ|Smart_health_care_system_using_internet_of_things|Smart health care system using internet of things|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|13
_BtyShaOL70J|The_internet_of_things_for_resident_health_information_service_platform_research|The internet of things for resident health information service platform research|http://digital-library.theiet.org/content/conferences/10.1049/cp.2011.0745||10
g58EZls4pqcJ|Ieee_11073_and_connected_health_Preparing_personal_health_devices_for_the_internet|Ieee 11073 and connected health: Preparing personal health devices for the internet|http://ieeexplore.ieee.org/abstract/document/6776001/||7
Bg0-T0USLrIJ|The_internet_of_things_for_health_care_a_comprehensive_survey|The internet of things for health care: a comprehensive survey|http://ieeexplore.ieee.org/abstract/document/7113786/|http://ieeexplore.ieee.org/iel7/6287639/7042252/07113786.pdf|300
UkWPkZiz8aMJ|Registration_protocol_for_health_iot_platform_to_share_the_use_of_medical_devices|Registration protocol for health iot platform to share the use of medical devices|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|4
knn5qBKi084J|Cloud_assisted_industrial_internet_of_things_iiot_enabled_framework_for_health_monitoring|Cloud-assisted industrial internet of things (iiot)–enabled framework for health monitoring|https://www.sciencedirect.com/science/article/pii/S1389128616300019|http://tarjomefa.com/wp-content/uploads/2016/09/4917-english.pdf|102
HvQKJYbrplwJ|An_interactive_trust_model_for_application_market_of_the_internet_of_things|An interactive trust model for application market of the internet of things|http://ieeexplore.ieee.org/abstract/document/6742593/||29
pzf0XFI4wp8J|Design_of_a_terminal_solution_for_integration_of_in_home_health_care_devices_and_services_towards_the_Internet_of_Things|Design of a terminal solution for integration of in-home health care devices and services towards the Internet-of-Things|http://www.tandfonline.com/doi/abs/10.1080/17517575.2013.776118|http://www.diva-portal.org/smash/record.jsf?pid=diva2:622720|101
o5iF2rgFh60J|Health_internet_of_things_recent_applications_and_outlook|Health internet of things: recent applications and outlook|http://www.airitilibrary.com/Publication/alDetailedMesh?docid=16079264-201503-201504070025-201504070025-351-362|https://www.researchgate.net/profile/Yin_Zhang26/publication/282712539_Health_Internet_of_Things_Recent_Applications_and_Outlook/links/570aa9f208ae8883a1fbf9ef.pdf|10
88NGqZmM_lAJ|A_Modern_Health_Care_System_Using_IoT_and_Android|A Modern Health Care System Using IoT and Android|http://www.enggjournals.com/ijcse/doc/IJCSE16-08-04-031.pdf|http://www.enggjournals.com/ijcse/doc/IJCSE16-08-04-031.pdf|3
_BtyShaOL70J|The_internet_of_things_for_resident_health_information_service_platform_research|The internet of things for resident health information service platform research|http://digital-library.theiet.org/content/conferences/10.1049/cp.2011.0745||10
g58EZls4pqcJ|Ieee_11073_and_connected_health_Preparing_personal_health_devices_for_the_internet|Ieee 11073 and connected health: Preparing personal health devices for the internet|http://ieeexplore.ieee.org/abstract/document/6776001/||7
Bg0-T0USLrIJ|The_internet_of_things_for_health_care_a_comprehensive_survey|The internet of things for health care: a comprehensive survey|http://ieeexplore.ieee.org/abstract/document/7113786/|http://ieeexplore.ieee.org/iel7/6287639/7042252/07113786.pdf|300
UkWPkZiz8aMJ|Registration_protocol_for_health_iot_platform_to_share_the_use_of_medical_devices|Registration protocol for health iot platform to share the use of medical devices|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|4
knn5qBKi084J|Cloud_assisted_industrial_internet_of_things_iiot_enabled_framework_for_health_monitoring|Cloud-assisted industrial internet of things (iiot)–enabled framework for health monitoring|https://www.sciencedirect.com/science/article/pii/S1389128616300019|http://tarjomefa.com/wp-content/uploads/2016/09/4917-english.pdf|102
HvQKJYbrplwJ|An_interactive_trust_model_for_application_market_of_the_internet_of_things|An interactive trust model for application market of the internet of things|http://ieeexplore.ieee.org/abstract/document/6742593/||29
pzf0XFI4wp8J|Design_of_a_terminal_solution_for_integration_of_in_home_health_care_devices_and_services_towards_the_Internet_of_Things|Design of a terminal solution for integration of in-home health care devices and services towards the Internet-of-Things|http://www.tandfonline.com/doi/abs/10.1080/17517575.2013.776118|http://www.diva-portal.org/smash/record.jsf?pid=diva2:622720|101
o5iF2rgFh60J|Health_internet_of_things_recent_applications_and_outlook|Health internet of things: recent applications and outlook|http://www.airitilibrary.com/Publication/alDetailedMesh?docid=16079264-201503-201504070025-201504070025-351-362|https://www.researchgate.net/profile/Yin_Zhang26/publication/282712539_Health_Internet_of_Things_Recent_Applications_and_Outlook/links/570aa9f208ae8883a1fbf9ef.pdf|10
88NGqZmM_lAJ|A_Modern_Health_Care_System_Using_IoT_and_Android|A Modern Health Care System Using IoT and Android|http://www.enggjournals.com/ijcse/doc/IJCSE16-08-04-031.pdf|http://www.enggjournals.com/ijcse/doc/IJCSE16-08-04-031.pdf|3
zZ0dfyIpoDcJ|Smart_e_health_gateway_Bringing_intelligence_to_internet_of_things_based_ubiquitous_healthcare_systems|Smart e-health gateway: Bringing intelligence to internet-of-things based ubiquitous healthcare systems|http://ieeexplore.ieee.org/abstract/document/7158084/|https://www.researchgate.net/profile/Tuan_Nguyen_Gia2/publication/270880243_Smart_e-Health_Gateway_Bringing_Intelligence_to_Internet-of-Things_Based_Ubiquitous_Healthcare_Systems/links/557a9bcf08aeb6d8c0206ff0.pdf|74
g58EZls4pqcJ|Ieee_11073_and_connected_health_Preparing_personal_health_devices_for_the_internet|Ieee 11073 and connected health: Preparing personal health devices for the internet|http://ieeexplore.ieee.org/abstract/document/6776001/||7
Bg0-T0USLrIJ|The_internet_of_things_for_health_care_a_comprehensive_survey|The internet of things for health care: a comprehensive survey|http://ieeexplore.ieee.org/abstract/document/7113786/|http://ieeexplore.ieee.org/iel7/6287639/7042252/07113786.pdf|300
UkWPkZiz8aMJ|Registration_protocol_for_health_iot_platform_to_share_the_use_of_medical_devices|Registration protocol for health iot platform to share the use of medical devices|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|4
knn5qBKi084J|Cloud_assisted_industrial_internet_of_things_iiot_enabled_framework_for_health_monitoring|Cloud-assisted industrial internet of things (iiot)–enabled framework for health monitoring|https://www.sciencedirect.com/science/article/pii/S1389128616300019|http://tarjomefa.com/wp-content/uploads/2016/09/4917-english.pdf|102
HvQKJYbrplwJ|An_interactive_trust_model_for_application_market_of_the_internet_of_things|An interactive trust model for application market of the internet of things|http://ieeexplore.ieee.org/abstract/document/6742593/||29
pzf0XFI4wp8J|Design_of_a_terminal_solution_for_integration_of_in_home_health_care_devices_and_services_towards_the_Internet_of_Things|Design of a terminal solution for integration of in-home health care devices and services towards the Internet-of-Things|http://www.tandfonline.com/doi/abs/10.1080/17517575.2013.776118|http://www.diva-portal.org/smash/record.jsf?pid=diva2:622720|101
o5iF2rgFh60J|Health_internet_of_things_recent_applications_and_outlook|Health internet of things: recent applications and outlook|http://www.airitilibrary.com/Publication/alDetailedMesh?docid=16079264-201503-201504070025-201504070025-351-362|https://www.researchgate.net/profile/Yin_Zhang26/publication/282712539_Health_Internet_of_Things_Recent_Applications_and_Outlook/links/570aa9f208ae8883a1fbf9ef.pdf|10
88NGqZmM_lAJ|A_Modern_Health_Care_System_Using_IoT_and_Android|A Modern Health Care System Using IoT and Android|http://www.enggjournals.com/ijcse/doc/IJCSE16-08-04-031.pdf|http://www.enggjournals.com/ijcse/doc/IJCSE16-08-04-031.pdf|3
zZ0dfyIpoDcJ|Smart_e_health_gateway_Bringing_intelligence_to_internet_of_things_based_ubiquitous_healthcare_systems|Smart e-health gateway: Bringing intelligence to internet-of-things based ubiquitous healthcare systems|http://ieeexplore.ieee.org/abstract/document/7158084/|https://www.researchgate.net/profile/Tuan_Nguyen_Gia2/publication/270880243_Smart_e-Health_Gateway_Bringing_Intelligence_to_Internet-of-Things_Based_Ubiquitous_Healthcare_Systems/links/557a9bcf08aeb6d8c0206ff0.pdf|74
tc4wK9EF7QUJ|Risk_driven_security_metrics_development_for_an_e_health_IoT_application|Risk-driven security metrics development for an e-health IoT application|http://ieeexplore.ieee.org/abstract/document/7335061/|http://icsa.cs.up.ac.za/issa/2015/Proceedings/Full/45_Paper.pdf|4
Bg0-T0USLrIJ|The_internet_of_things_for_health_care_a_comprehensive_survey|The internet of things for health care: a comprehensive survey|http://ieeexplore.ieee.org/abstract/document/7113786/|http://ieeexplore.ieee.org/iel7/6287639/7042252/07113786.pdf|300
UkWPkZiz8aMJ|Registration_protocol_for_health_iot_platform_to_share_the_use_of_medical_devices|Registration protocol for health iot platform to share the use of medical devices|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|4
knn5qBKi084J|Cloud_assisted_industrial_internet_of_things_iiot_enabled_framework_for_health_monitoring|Cloud-assisted industrial internet of things (iiot)–enabled framework for health monitoring|https://www.sciencedirect.com/science/article/pii/S1389128616300019|http://tarjomefa.com/wp-content/uploads/2016/09/4917-english.pdf|102
HvQKJYbrplwJ|An_interactive_trust_model_for_application_market_of_the_internet_of_things|An interactive trust model for application market of the internet of things|http://ieeexplore.ieee.org/abstract/document/6742593/||29
pzf0XFI4wp8J|Design_of_a_terminal_solution_for_integration_of_in_home_health_care_devices_and_services_towards_the_Internet_of_Things|Design of a terminal solution for integration of in-home health care devices and services towards the Internet-of-Things|http://www.tandfonline.com/doi/abs/10.1080/17517575.2013.776118|http://www.diva-portal.org/smash/record.jsf?pid=diva2:622720|101
o5iF2rgFh60J|Health_internet_of_things_recent_applications_and_outlook|Health internet of things: recent applications and outlook|http://www.airitilibrary.com/Publication/alDetailedMesh?docid=16079264-201503-201504070025-201504070025-351-362|https://www.researchgate.net/profile/Yin_Zhang26/publication/282712539_Health_Internet_of_Things_Recent_Applications_and_Outlook/links/570aa9f208ae8883a1fbf9ef.pdf|10
